regulator,Nb_of_Metabolite,List_of_Metabolites
IscR,17,"(2R,3R)-2,3-Dihydroxy-3-methylpentanoate;Deoxyribose-P;Isopentenyl diphosphate / Dimethylallyl diphosphate;Alanine;Leucine/Isoleucine;Hypoxanthine;Dihydropteroate;Riboflavin;2-Isopropylmalic acid;2,3-dihydroxybenzoylserine;UDP;ADP;ATP;Coenzyme A;3-Carboxy-4-methyl-2-oxopentanoate;Pyridoxamine 5-Phosphate;Inosine diphosphate"
KdgR,NA,NA
KdpE,NA,NA
LacI,NA,NA
Leu.Att,NA,NA
LeuO,2,Leucine/Isoleucine;Valine
LexA,NA,NA
LldR,NA,NA
LrhA,NA,NA
Lrp,14,Glycolaldehyde;a-Ketoglutaric acid;Leucine/Isoleucine;Glutamine;Glutamic acid;Phenylalanine;N2-Succinyl-glutamate;gamma-Glutamyl-cysteine;Xanthosine;dCMP;NADPH;Valine;Pyridoxamine 5-Phosphate;Dihydroneopterin
LsrR,2,S-Adenosyl-homocysteine;S-Adenosylmethionine
LysR,1,"1,5-Diaminopentane"
MalI,3,Lysine;O-Succinyl-homoserine;S-Adenosylmethionine
MalT,NA,NA
MarA,NA,NA
MarR,NA,NA
MatA,NA,NA
MazE,NA,NA
McbR,8,Deoxyribose-P;Adenine;Guanine;Hypoxanthine;UDP;Cytidine;cAMP;Inosine diphosphate
MelR,NA,NA
MetJ,14,Aspartic acid;Isopentenyl diphosphate / Dimethylallyl diphosphate;Lysine;Methionine;Diaminopimelic acid;gamma-Glutamyl-cysteine;Flavin adenine dinucleotide;Succinyl-CoA;ATP;Coenzyme A;O-Succinyl-homoserine;S-Adenosyl-homocysteine;S-Adenosylmethionine;5-Methyltetrahydrofolic acid
MetR,13,Glycolaldehyde;Alanine;Lysine;Diaminopimelic acid;D-Pantothenic acid;Riboflavin;NADH;NADP;Coenzyme A;3-Phosphoserine;O-Succinyl-homoserine;Pyridoxamine 5-Phosphate;S-Adenosyl-homocysteine
MhpR,NA,NA
Mlc,NA,NA
MlrA,1,Propionyl-CoA
MngR,1,Phosphoenolpyruvate
MntR,NA,NA
ModE,5,Guanine;Inosine;Pyridoxamine;Oxidized glutathione;Dihydroneopterin
MprA,NA,NA
MqsA,NA,NA
MraZ,1,Udp-Glucose
MurR,NA,NA
