MedPos	StrainPos	Medium	label	Original_row	YYMMDD
G2	N1G1	E09	N1G1_E09	15	20200213
H2	N1H1	E09	N1H1_E09	16	20200213
A3	N1A1	E10	N1A1_E10	17	20200213
B3	N1B1	E10	N1B1_E10	18	20200213
C3	N1C1	E10	N1C1_E10	19	20200213
D3	N1D1	E10	N1D1_E10	20	20200213
E3	N1E1	E10	N1E1_E10	21	20200213
F3	N1F1	E10	N1F1_E10	22	20200213
G3	N1G1	E10	N1G1_E10	23	20200213
H3	N1H1	E10	N1H1_E10	24	20200213
A4	N1A1	F08	N1A1_F08	25	20200213
B4	N1B1	F08	N1B1_F08	26	20200213
C4	N1C1	F08	N1C1_F08	27	20200213
D4	N1D1	F08	N1D1_F08	28	20200213
E4	N1E1	F08	N1E1_F08	29	20200213
F4	N1F1	F08	N1F1_F08	30	20200213
G4	N1G1	F08	N1G1_F08	31	20200213
H4	N1H1	F08	N1H1_F08	32	20200213
A5	N1A1	F09	N1A1_F09	33	20200213
B5	N1B1	F09	N1B1_F09	34	20200213
C5	N1C1	F09	N1C1_F09	35	20200213
D5	N1D1	F09	N1D1_F09	36	20200213
E5	N1E1	F09	N1E1_F09	37	20200213
F5	N1F1	F09	N1F1_F09	38	20200213
G5	N1G1	F09	N1G1_F09	39	20200213
H5	N1H1	F09	N1H1_F09	40	20200213
A6	N1A1	F10	N1A1_F10	41	20200213
B6	N1B1	F10	N1B1_F10	42	20200213
C6	N1C1	F10	N1C1_F10	43	20200213
D6	N1D1	F10	N1D1_F10	44	20200213
E6	N1E1	F10	N1E1_F10	45	20200213
F6	N1F1	F10	N1F1_F10	46	20200213
G6	N1G1	F10	N1G1_F10	47	20200213
H6	N1H1	F10	N1H1_F10	48	20200213
A7	N1A1	G08	N1A1_G08	49	20200213
B7	N1B1	G08	N1B1_G08	50	20200213
C7	N1C1	G08	N1C1_G08	51	20200213
D7	N1D1	G08	N1D1_G08	52	20200213
E7	N1E1	G08	N1E1_G08	53	20200213
F7	N1F1	G08	N1F1_G08	54	20200213
G7	N1G1	G08	N1G1_G08	55	20200213
H7	N1H1	G08	N1H1_G08	56	20200213
A8	N1A1	G09	N1A1_G09	57	20200213
B8	N1B1	G09	N1B1_G09	58	20200213
C8	N1C1	G09	N1C1_G09	59	20200213
D8	N1D1	G09	N1D1_G09	60	20200213
E8	N1E1	G09	N1E1_G09	61	20200213
F8	N1F1	G09	N1F1_G09	62	20200213
G8	N1G1	G09	N1G1_G09	63	20200213
H8	N1H1	G09	N1H1_G09	64	20200213
A9	N1A1	G10	N1A1_G10	65	20200213
B9	N1B1	G10	N1B1_G10	66	20200213
C9	N1C1	G10	N1C1_G10	67	20200213
D9	N1D1	G10	N1D1_G10	68	20200213
E9	N1E1	G10	N1E1_G10	69	20200213
F9	N1F1	G10	N1F1_G10	70	20200213
G9	N1G1	G10	N1G1_G10	71	20200213
H9	N1H1	G10	N1H1_G10	72	20200213
A10	N1A1	H08	N1A1_H08	73	20200213
B10	N1B1	H08	N1B1_H08	74	20200213
C10	N1C1	H08	N1C1_H08	75	20200213
D10	N1D1	H08	N1D1_H08	76	20200213
E10	N1E1	H08	N1E1_H08	77	20200213
F10	N1F1	H08	N1F1_H08	78	20200213
G10	N1G1	H08	N1G1_H08	79	20200213
H10	N1H1	H08	N1H1_H08	80	20200213
A11	N1A1	H09	N1A1_H09	81	20200213
B11	N1B1	H09	N1B1_H09	82	20200213
C11	N1C1	H09	N1C1_H09	83	20200213
D11	N1D1	H09	N1D1_H09	84	20200213
E11	N1E1	H09	N1E1_H09	85	20200213
F11	N1F1	H09	N1F1_H09	86	20200213
G11	N1G1	H09	N1G1_H09	87	20200213
H11	N1H1	H09	N1H1_H09	88	20200213
A12	N1A1	H10	N1A1_H10	89	20200213
B12	N1B1	H10	N1B1_H10	90	20200213
C12	N1C1	H10	N1C1_H10	91	20200213
D12	N1D1	H10	N1D1_H10	92	20200213
E12	N1E1	H10	N1E1_H10	93	20200213
F12	N1F1	H10	N1F1_H10	94	20200213
G12	N1G1	H10	N1G1_H10	95	20200213
H12	N1H1	H10	N1H1_H10	96	20200213
