TU,Prom_TU,Genes_TU,Bnb_TU,ECKnb_TU,Ess_ECKnb_TU,Ess_Gene_TU,Bnb_Promlib,Gene_Promlib
ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ftsLp2,ftsO;lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL,b4810;b0096;b0095;b0094;b0093;b0092;b0091;b0090;b0089;b0088;b0087;b0086;b0085;b0084;b0083,ECK4667;ECK0097;ECK0096;ECK0095;ECK0094;ECK0093;ECK0092;ECK0091;ECK0090;ECK0089;ECK0088;ECK0087;ECK0086;ECK0085;ECK0084,ECK0097;ECK0096;ECK0095;ECK0094;ECK0092;ECK0091;ECK0090;ECK0089;ECK0088;ECK0087;ECK0086;ECK0085;ECK0084,murE;ftsI;lpxC;murF;ftsL;ftsQ;ftsA;ftsZ;ftsW;murC;mraY;murG;murD,b0096;b0091,lpxC;murC
ftsYEX,NA,ftsX;ftsE;ftsY,b3462;b3463;b3464,ECK3446;ECK3447;ECK3448,ECK3448,ftsY,b3464,ftsY
fusA-tufA,fusAp,tufA;fusA,b3339;b3340,ECK3326;ECK3327,ECK3327,fusA,b3339,tufA
glmUS,glmUp1,glmS;glmU,b3729;b3730,ECK3722;ECK3723,ECK3722;ECK3723,glmU;glmS,b3730,glmU
glmUS,glmUp2,glmS;glmU,b3729;b3730,ECK3722;ECK3723,ECK3722;ECK3723,glmU;glmS,b3730,glmU
gltX,gltXp1,gltX,b2400,ECK2394,ECK2394,gltX,b2400,gltX
gltX,gltXp2,gltX,b2400,ECK2394,ECK2394,gltX,b2400,gltX
gltX,gltXp3,gltX,b2400,ECK2394,ECK2394,gltX,b2400,gltX
glyQS,glyQp,glyS;glyQ,b3559;b3560,ECK3547;ECK3548,ECK3548,glyQ,b3560,glyQ
gmk,gmkp,gmk,b3648,ECK3638,ECK3638,gmk,b3648,gmk
groSL,groSp2,groL;groS,b4143;b4142,ECK4137;ECK4136,ECK4136,groS,b4143,groL
groSL,groSp,groL;groS,b4143;b4142,ECK4137;ECK4136,ECK4136,groS,b4143,groL
