TU,Prom_TU,Genes_TU,Bnb_TU,ECKnb_TU,Ess_ECKnb_TU,Ess_Gene_TU,Bnb_Promlib,Gene_Promlib
rpsMKD-rpoA-rplQ,rpsMp2,rplQ;rpoA;rpsD;rpsK;rpsM,b3294;b3295;b3296;b3297;b3298,ECK3281;ECK3282;ECK3283;ECK3284;ECK3285,ECK3281;ECK3282;ECK3283;ECK3284;ECK3285,rpsM;rpsD;rpsK;rplQ;rpoA,b3298,rpsM
rpsMKD-rpoA-rplQ,rpsMp1,rpsK;rpsD;rpoA;rplQ;rpsM,b3297;b3296;b3295;b3294;b3298,ECK3284;ECK3283;ECK3282;ECK3281;ECK3285,ECK3284;ECK3283;ECK3282;ECK3281;ECK3285,rpsM;rpsD;rpsK;rplQ;rpoA,b3298,rpsM
rpsP-rimM-trmD-rplS,rpsPp,rplS;trmD;rimM;rpsP,b2606;b2607;b2608;b2609,ECK2603;ECK2604;ECK2605;ECK2606,ECK2603;ECK2604;ECK2606,rpsP;rplS;trmD,b2609,rpsP
rsfS-rlmH-mrdAB-rlpA,rsfSp,rsfS;rlmH;mrdA;mrdB;rlpA,b0637;b0636;b0635;b0634;b0633,ECK0630;ECK0629;ECK0628;ECK0627;ECK0626,ECK0628;ECK0627,mrdA;mrdB,b0637,rsfS
rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,rsmHp1,ftsO;lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH,b4810;b0096;b0095;b0094;b0093;b0092;b0091;b0090;b0089;b0088;b0087;b0086;b0085;b0084;b0083;b0082,ECK4667;ECK0097;ECK0096;ECK0095;ECK0094;ECK0093;ECK0092;ECK0091;ECK0090;ECK0089;ECK0088;ECK0087;ECK0086;ECK0085;ECK0084;ECK0083,ECK0097;ECK0096;ECK0095;ECK0094;ECK0092;ECK0091;ECK0090;ECK0089;ECK0088;ECK0087;ECK0086;ECK0085;ECK0084,murE;ftsI;lpxC;murF;ftsL;ftsQ;ftsA;ftsZ;ftsW;murC;mraY;murG;murD,b0096;b0091,lpxC;murC
secB-gpsA,secBp,secB;gpsA,b3609;b3608,ECK3599;ECK3598,ECK3598,gpsA,b3609,secB
secE-nusG,secEp,secE;nusG,b3981;b3982,ECK3972;ECK3973,ECK3972;ECK3973,nusG;secE,b3981,secE
secMA-mutT,NA,mutT;secA;secM,b0099;b0098;b0097,ECK0100;ECK0099;ECK0098,ECK0099,secA,b0099;b0098;b0097,secM;mutT;secA
smtA-mukFEB,cmoMp,mukB;mukE;mukF;cmoM,b0924;b0923;b0922;b0921,ECK0915;ECK0914;ECK0913;ECK0912,ECK0915;ECK0914;ECK0913,mukF;mukB;mukE,b0921,cmoM
ssb,ssbp1,ssb,b4059,ECK4051,ECK4051,ssb,b4059,ssb
ssb,ssbp2,ssb,b4059,ECK4051,ECK4051,ssb,b4059,ssb
ssb,ssbp3,ssb,b4059,ECK4051,ECK4051,ssb,b4059,ssb
thrS-infC-rpmI-rplT-pheMST-ihfA,thrSp,ihfA;pheT;pheS;pheM;rplT;rpmI;infC;thrS,b1712;b1713;b1714;b1715;b1716;b1717;b1718;b1719,ECK1710;ECK1711;ECK1712;ECK1713;ECK1714;ECK1715;ECK1716;ECK1717,ECK1711;ECK1712;ECK1714;ECK1716;ECK1717,infC;rplT;thrS;pheS;pheT,b1714;b1715;b1716;b1717,rpmI;rplT;pheM;pheS
tilS,NA,tilS,b0188,ECK0187,ECK0187,tilS,b0188,tilS
tsaB-yeaY,tsaBp,tsaB;yeaY,b1807;b1806,ECK1805;ECK1804,ECK1805,tsaB,b1807,tsaB
tsaD,NA,tsaD,b3064,ECK3054,ECK3054,tsaD,b3064,tsaD
tsaE-amiB-mutL-miaA-hfq-hflXKC,tsaEp,hflC;hflK;hflX;hfq;miaA;mutL;amiB;tsaE,b4175;b4174;b4173;b4172;b4171;b4170;b4169;b4168,ECK4171;ECK4170;ECK4169;ECK4168;ECK4167;ECK4166;ECK4165;ECK4164,ECK4164,tsaE,b4172,hfq
tyrS-pdxY,tyrSp1,pdxY;tyrS,b1636;b1637,ECK1632;ECK1633,ECK1633,tyrS,b1636;b1637,tyrS;pdxY
tyrS-pdxY,tyrSp2,pdxY;tyrS,b1636;b1637,ECK1632;ECK1633,ECK1633,tyrS,b1636;b1637,tyrS;pdxY
ubiCA,ubiCp,ubiC;ubiA,b4039;b4040,ECK4031;ECK4032,ECK4032,ubiA,b4039,ubiC
waaA,waaAp2,waaA,b3633,ECK3623,ECK3623,waaA,b3633,waaA
waaA,waaAp1,waaA,b3633,ECK3623,ECK3623,waaA,b3633,waaA
xseB-ispA-dxs-yajO,xseBp,yajO;dxs;ispA;xseB,b0419;b0420;b0421;b0422,ECK0413;ECK0414;ECK0415;ECK0416,ECK0414;ECK0415,dxs;ispA,b0419;b0422,yajO;xseB
ybeZYX-lnt,ybeZp,lnt;ybeX;ybeY;ybeZ,b0657;b0658;b0659;b0660,ECK0649;ECK0650;ECK0651;ECK0652,ECK0649,lnt,b0660,ybeZ
ycaI-msbA-lpxK-ycaQ,NA,ycaQ;lpxK;msbA;ycaI,b0916;b0915;b0914;b0913,ECK0907;ECK0906;ECK0905;ECK0904,ECK0906;ECK0905,lpxK;msbA,b0913,ycaI
yibN-grxC-secB-gpsA,yibNp,grxC;yibN;gpsA;secB,b3610;b3611;b3608;b3609,ECK3600;ECK3601;ECK3598;ECK3599,ECK3598,gpsA,b3610;b3609,grxC;secB
yicR-rpmBG,yicRp,rpmG;rpmB;yicR,b3636;b3637;b3638,ECK3626;ECK3627;ECK3628,ECK3627,rpmB,b3637,rpmB
yicR-rpmBG-mutM,yicRp,mutM;rpmG;rpmB;yicR,b3635;b3636;b3637;b3638,ECK3625;ECK3626;ECK3627;ECK3628,ECK3627,rpmB,b3635;b3637,rpmB;mutM
yjeFE-amiB-mutL-miaA-hfq-hflXKC,yjeFp1,tsaE;nnr;amiB;mutL;miaA;hfq;hflX;hflK;hflC,b4168;b4167;b4169;b4170;b4171;b4172;b4173;b4174;b4175,ECK4164;ECK4163;ECK4165;ECK4166;ECK4167;ECK4168;ECK4169;ECK4170;ECK4171,ECK4164,tsaE,b4172,hfq
yjeFE-amiB-mutL-miaA-hfq-hflXKC,yjeFp2,hflC;hflK;hflX;hfq;miaA;mutL;amiB;tsaE;nnr,b4175;b4174;b4173;b4172;b4171;b4170;b4169;b4168;b4167,ECK4171;ECK4170;ECK4169;ECK4168;ECK4167;ECK4166;ECK4165;ECK4164;ECK4163,ECK4164,tsaE,b4172,hfq
yjeFE-amiB-mutL-miaA-hfq-hflXKC,yjeFp3,hflC;hflK;hflX;hfq;miaA;mutL;amiB;tsaE;nnr,b4175;b4174;b4173;b4172;b4171;b4170;b4169;b4168;b4167,ECK4171;ECK4170;ECK4169;ECK4168;ECK4167;ECK4166;ECK4165;ECK4164;ECK4163,ECK4164,tsaE,b4172,hfq
yrbG-kdsDC-lptCAB,yrbGp,lptB;lptA;lptC;kdsC;kdsD;yrbG,b3201;b3200;b3199;b3198;b3197;b3196,ECK3190;ECK3189;ECK3188;ECK3187;ECK3186;ECK3185,ECK3189,lptA,b3196,yrbG
