hours_grown1,hours_grown2,gene_downstream,fl_mean_log1,fl_mean_log2,fl_var_log1,fl_var_log2,cor_mean,cor_var
0h,3h,allD,5.814924554,5.848924742,0.220593359,0.210277173,0.991973013,0.914567858
0h,5h,allD,5.814924554,5.875840443,0.220593359,0.201852457,0.988534391,0.900022899
0h,6.5h,allD,5.814924554,5.923924015,0.220593359,0.196774566,0.985763124,0.905858719
0h,8.5h,allD,5.814924554,5.839029309,0.220593359,0.219048993,0.983992857,0.887850084
0h,10h,allD,5.814924554,5.701048085,0.220593359,0.26204514,0.984507283,0.862891515
0h,11h,allD,5.814924554,5.761269338,0.220593359,0.237059907,0.984816255,0.887479151
0h,1h,dsbG,7.008972162,7.056112954,0.218431249,0.199712006,0.998710269,0.978320822
0h,2h,dsbG,7.008972162,7.173430592,0.218431249,0.196608362,0.994700418,0.934124539
0h,3h,dsbG,7.008972162,7.171151549,0.218431249,0.189351418,0.991973013,0.914567858
0h,5h,dsbG,7.008972162,7.095149852,0.218431249,0.198457903,0.988534391,0.900022899
0h,6.5h,dsbG,7.008972162,7.133045384,0.218431249,0.195769077,0.985763124,0.905858719
0h,8.5h,dsbG,7.008972162,7.072828793,0.218431249,0.207538151,0.983992857,0.887850084
0h,10h,dsbG,7.008972162,6.975664766,0.218431249,0.214638915,0.984507283,0.862891515
0h,11h,dsbG,7.008972162,6.968611264,0.218431249,0.214348569,0.984816255,0.887479151
0h,1h,borD,5.746094145,5.737244558,0.261198259,0.248371692,0.998710269,0.978320822
0h,2h,borD,5.746094145,5.751672336,0.261198259,0.250462716,0.994700418,0.934124539
0h,3h,borD,5.746094145,5.772329387,0.261198259,0.228558319,0.991973013,0.914567858
0h,5h,borD,5.746094145,5.770356661,0.261198259,0.232133631,0.988534391,0.900022899
0h,6.5h,borD,5.746094145,5.796420464,0.261198259,0.233727591,0.985763124,0.905858719
0h,8.5h,borD,5.746094145,5.699676243,0.261198259,0.260825212,0.983992857,0.887850084
0h,10h,borD,5.746094145,5.620938327,0.261198259,0.298242,0.984507283,0.862891515
0h,11h,borD,5.746094145,5.628885116,0.261198259,0.303301945,0.984816255,0.887479151
0h,1h,marC,7.492082061,7.606186082,0.168769658,0.150353165,0.998710269,0.978320822
0h,2h,marC,7.492082061,7.904660506,0.168769658,0.115239297,0.994700418,0.934124539
0h,3h,marC,7.492082061,7.936775157,0.168769658,0.109510944,0.991973013,0.914567858
0h,5h,marC,7.492082061,7.933532156,0.168769658,0.111430041,0.988534391,0.900022899
0h,6.5h,marC,7.492082061,7.972281708,0.168769658,0.1152549,0.985763124,0.905858719
0h,8.5h,marC,7.492082061,7.953344238,0.168769658,0.110145575,0.983992857,0.887850084
0h,10h,marC,7.492082061,7.81710406,0.168769658,0.123774329,0.984507283,0.862891515
0h,11h,marC,7.492082061,7.797488882,0.168769658,0.119012865,0.984816255,0.887479151
0h,1h,slyA,8.269503658,8.204193918,0.108117186,0.104954777,0.998710269,0.978320822
0h,2h,slyA,8.269503658,8.268785635,0.108117186,0.090447251,0.994700418,0.934124539
0h,3h,slyA,8.269503658,8.193888037,0.108117186,0.094678599,0.991973013,0.914567858
0h,5h,slyA,8.269503658,8.13860213,0.108117186,0.098923052,0.988534391,0.900022899
0h,6.5h,slyA,8.269503658,8.188502307,0.108117186,0.090076856,0.985763124,0.905858719
0h,8.5h,slyA,8.269503658,8.157033429,0.108117186,0.098601068,0.983992857,0.887850084
0h,10h,slyA,8.269503658,8.098181701,0.108117186,0.101172916,0.984507283,0.862891515
0h,11h,slyA,8.269503658,8.098928167,0.108117186,0.102648718,0.984816255,0.887479151
1h,2h,yafC,6.601674669,6.534698702,0.262334833,0.240838983,0.997423558,0.961316293
1h,3h,yafC,6.601674669,6.46710632,0.262334833,0.234367074,0.995279051,0.940861022
1h,5h,yafC,6.601674669,6.489462098,0.262334833,0.239667041,0.991778376,0.925975111
1h,6.5h,yafC,6.601674669,6.501902224,0.262334833,0.242233254,0.989290714,0.92687542
1h,8.5h,yafC,6.601674669,6.511074801,0.262334833,0.226299785,0.987573816,0.912746801
1h,10h,yafC,6.601674669,6.494038681,0.262334833,0.242321929,0.987872528,0.897892651
1h,11h,yafC,6.601674669,6.454408504,0.262334833,0.239465335,0.988161273,0.915633832
1h,2h,rnhA,6.490546679,6.512476391,0.253406179,0.232686126,0.997423558,0.961316293
1h,3h,rnhA,6.490546679,6.447981623,0.253406179,0.232427135,0.995279051,0.940861022
1h,5h,rnhA,6.490546679,6.430561072,0.253406179,0.232860886,0.991778376,0.925975111
1h,6.5h,rnhA,6.490546679,6.410008925,0.253406179,0.214439764,0.989290714,0.92687542
1h,8.5h,rnhA,6.490546679,6.352495751,0.253406179,0.231757966,0.987573816,0.912746801
1h,10h,rnhA,6.490546679,6.348457375,0.253406179,0.231008245,0.987872528,0.897892651
1h,11h,rnhA,6.490546679,6.343450654,0.253406179,0.23100613,0.988161273,0.915633832
1h,2h,dinJ,9.756829257,9.675576683,0.093344358,0.079401542,0.997423558,0.961316293
1h,3h,dinJ,9.756829257,9.56164555,0.093344358,0.071240681,0.995279051,0.940861022
1h,5h,dinJ,9.756829257,9.461585169,0.093344358,0.073442833,0.991778376,0.925975111
1h,6.5h,dinJ,9.756829257,9.398114329,0.093344358,0.077650804,0.989290714,0.92687542
1h,8.5h,dinJ,9.756829257,9.407735583,0.093344358,0.091900165,0.987573816,0.912746801
1h,10h,dinJ,9.756829257,9.385602131,0.093344358,0.0963439,0.987872528,0.897892651
1h,11h,dinJ,9.756829257,9.347570628,0.093344358,0.101094361,0.988161273,0.915633832
1h,2h,ybgH,6.724323036,6.657931471,0.34599022,0.276548693,0.997423558,0.961316293
1h,3h,ybgH,6.724323036,6.569404139,0.34599022,0.258065223,0.995279051,0.940861022
1h,5h,ybgH,6.724323036,6.501504395,0.34599022,0.241496313,0.991778376,0.925975111
1h,6.5h,ybgH,6.724323036,6.443768374,0.34599022,0.235325755,0.989290714,0.92687542
1h,8.5h,ybgH,6.724323036,6.42905551,0.34599022,0.238828622,0.987573816,0.912746801
1h,10h,ybgH,6.724323036,6.37082171,0.34599022,0.244651529,0.987872528,0.897892651
1h,11h,ybgH,6.724323036,6.325125083,0.34599022,0.259439709,0.988161273,0.915633832
1h,2h,ybiS,8.314435196,8.314508145,0.110539429,0.089044052,0.997423558,0.961316293
1h,3h,ybiS,8.314435196,8.304938627,0.110539429,0.080721669,0.995279051,0.940861022
1h,5h,ybiS,8.314435196,8.291399872,0.110539429,0.076935908,0.991778376,0.925975111
1h,6.5h,ybiS,8.314435196,8.297595296,0.110539429,0.078626848,0.989290714,0.92687542
1h,8.5h,ybiS,8.314435196,8.307060198,0.110539429,0.078698824,0.987573816,0.912746801
1h,10h,ybiS,8.314435196,8.278858157,0.110539429,0.080146188,0.987872528,0.897892651
1h,11h,ybiS,8.314435196,8.227938629,0.110539429,0.083308617,0.988161273,0.915633832
1h,2h,ymfE,6.660853653,6.566316648,0.272111666,0.256798482,0.997423558,0.961316293
1h,3h,ymfE,6.660853653,6.547397862,0.272111666,0.249076058,0.995279051,0.940861022
1h,5h,ymfE,6.660853653,6.538558315,0.272111666,0.238327378,0.991778376,0.925975111
1h,6.5h,ymfE,6.660853653,6.527885819,0.272111666,0.245633932,0.989290714,0.92687542
1h,8.5h,ymfE,6.660853653,6.532395579,0.272111666,0.249751116,0.987573816,0.912746801
1h,10h,ymfE,6.660853653,6.523528399,0.272111666,0.266974864,0.987872528,0.897892651
1h,11h,ymfE,6.660853653,6.516672806,0.272111666,0.272079591,0.988161273,0.915633832
1h,2h,minC,9.727852068,9.654945239,0.073109564,0.057219985,0.997423558,0.961316293
1h,3h,minC,9.727852068,9.564719268,0.073109564,0.052015642,0.995279051,0.940861022
1h,5h,minC,9.727852068,9.509937336,0.073109564,0.04832538,0.991778376,0.925975111
1h,6.5h,minC,9.727852068,9.476447977,0.073109564,0.049892104,0.989290714,0.92687542
1h,8.5h,minC,9.727852068,9.448597704,0.073109564,0.053574465,0.987573816,0.912746801
1h,10h,minC,9.727852068,9.39283803,0.073109564,0.050710075,0.987872528,0.897892651
1h,11h,minC,9.727852068,9.356170668,0.073109564,0.056681138,0.988161273,0.915633832
1h,2h,ycgK,6.38809026,6.302816046,0.277272151,0.264610819,0.997423558,0.961316293
1h,3h,ycgK,6.38809026,6.198706478,0.277272151,0.264976123,0.995279051,0.940861022
1h,5h,ycgK,6.38809026,6.15307157,0.277272151,0.249379681,0.991778376,0.925975111
1h,6.5h,ycgK,6.38809026,6.131862086,0.277272151,0.247388096,0.989290714,0.92687542
1h,8.5h,ycgK,6.38809026,6.015071389,0.277272151,0.275529743,0.987573816,0.912746801
1h,10h,ycgK,6.38809026,5.956461812,0.277272151,0.254081076,0.987872528,0.897892651
1h,11h,ycgK,6.38809026,5.935289968,0.277272151,0.263467783,0.988161273,0.915633832
1h,2h,ldhA,7.759544803,7.80457881,0.160537988,0.130243562,0.997423558,0.961316293
1h,3h,ldhA,7.759544803,7.741380892,0.160537988,0.128351367,0.995279051,0.940861022
1h,5h,ldhA,7.759544803,7.719416985,0.160537988,0.119859447,0.991778376,0.925975111
1h,6.5h,ldhA,7.759544803,7.644550136,0.160537988,0.131926851,0.989290714,0.92687542
1h,8.5h,ldhA,7.759544803,7.664312588,0.160537988,0.118431493,0.987573816,0.912746801
1h,10h,ldhA,7.759544803,7.61878645,0.160537988,0.1284169,0.987872528,0.897892651
1h,11h,ldhA,7.759544803,7.561381006,0.160537988,0.144192056,0.988161273,0.915633832
1h,2h,yddH,6.19859426,6.349753737,0.252095922,0.264531488,0.997423558,0.961316293
1h,3h,yddH,6.19859426,6.36101168,0.252095922,0.261768567,0.995279051,0.940861022
1h,5h,yddH,6.19859426,6.428584277,0.252095922,0.265628922,0.991778376,0.925975111
1h,6.5h,yddH,6.19859426,6.394210792,0.252095922,0.246807735,0.989290714,0.92687542
1h,8.5h,yddH,6.19859426,6.378188312,0.252095922,0.284398612,0.987573816,0.912746801
1h,10h,yddH,6.19859426,6.308158211,0.252095922,0.281581934,0.987872528,0.897892651
1h,11h,yddH,6.19859426,6.264776641,0.252095922,0.289073728,0.988161273,0.915633832
1h,2h,ydeI,6.111833897,6.268669098,0.270563534,0.292614,0.997423558,0.961316293
1h,3h,ydeI,6.111833897,6.306921239,0.270563534,0.275981981,0.995279051,0.940861022
1h,5h,ydeI,6.111833897,6.344543339,0.270563534,0.275067798,0.991778376,0.925975111
1h,6.5h,ydeI,6.111833897,6.428397375,0.270563534,0.279206011,0.989290714,0.92687542
1h,8.5h,ydeI,6.111833897,6.447705455,0.270563534,0.300089742,0.987573816,0.912746801
1h,10h,ydeI,6.111833897,6.297683383,0.270563534,0.332951801,0.987872528,0.897892651
1h,11h,ydeI,6.111833897,6.288900868,0.270563534,0.307410559,0.988161273,0.915633832
1h,2h,Empty,8.495099997,8.594561885,0.152856595,0.112212044,0.997423558,0.961316293
1h,3h,Empty,8.495099997,8.49976236,0.152856595,0.105086467,0.995279051,0.940861022
1h,5h,Empty,8.495099997,8.25566206,0.152856595,0.107911278,0.991778376,0.925975111
1h,6.5h,Empty,8.495099997,8.20336197,0.152856595,0.10989175,0.989290714,0.92687542
1h,8.5h,Empty,8.495099997,8.166863033,0.152856595,0.111103176,0.987573816,0.912746801
1h,10h,Empty,8.495099997,8.078501951,0.152856595,0.114027108,0.987872528,0.897892651
1h,11h,Empty,8.495099997,8.026967381,0.152856595,0.126095195,0.988161273,0.915633832
1h,2h,ybiA,5.958154394,5.948704101,0.22583673,0.23353993,0.997423558,0.961316293
1h,3h,ybiA,5.958154394,5.937639499,0.22583673,0.215106821,0.995279051,0.940861022
1h,5h,ybiA,5.958154394,5.941900691,0.22583673,0.216237391,0.991778376,0.925975111
1h,6.5h,ybiA,5.958154394,5.987091916,0.22583673,0.190430969,0.989290714,0.92687542
1h,8.5h,ybiA,5.958154394,5.894802415,0.22583673,0.211380959,0.987573816,0.912746801
1h,10h,ybiA,5.958154394,5.809705767,0.22583673,0.236759925,0.987872528,0.897892651
1h,11h,ybiA,5.958154394,5.83519894,0.22583673,0.242477056,0.988161273,0.915633832
1h,2h,astC,5.934382634,5.944784825,0.235427525,0.258856738,0.997423558,0.961316293
1h,3h,astC,5.934382634,5.935698289,0.235427525,0.233807942,0.995279051,0.940861022
1h,5h,astC,5.934382634,5.93589447,0.235427525,0.225093273,0.991778376,0.925975111
1h,6.5h,astC,5.934382634,5.97525623,0.235427525,0.206675994,0.989290714,0.92687542
1h,8.5h,astC,5.934382634,5.924302131,0.235427525,0.219125258,0.987573816,0.912746801
1h,10h,astC,5.934382634,5.861665918,0.235427525,0.245865662,0.987872528,0.897892651
1h,11h,astC,5.934382634,5.914724662,0.235427525,0.237599513,0.988161273,0.915633832
1h,2h,ydjA,7.640329147,7.704561856,0.139554294,0.120644885,0.997423558,0.961316293
1h,3h,ydjA,7.640329147,7.679704973,0.139554294,0.118678509,0.995279051,0.940861022
1h,5h,ydjA,7.640329147,7.641758523,0.139554294,0.123999214,0.991778376,0.925975111
1h,6.5h,ydjA,7.640329147,7.63476231,0.139554294,0.137603486,0.989290714,0.92687542
1h,8.5h,ydjA,7.640329147,7.6777196,0.139554294,0.131867151,0.987573816,0.912746801
1h,10h,ydjA,7.640329147,7.65824059,0.139554294,0.121043523,0.987872528,0.897892651
1h,11h,ydjA,7.640329147,7.5837005,0.139554294,0.142843589,0.988161273,0.915633832
1h,2h,yebG,7.423421956,7.479647292,0.19863548,0.165982034,0.997423558,0.961316293
1h,3h,yebG,7.423421956,7.430181177,0.19863548,0.160282529,0.995279051,0.940861022
1h,5h,yebG,7.423421956,7.354771675,0.19863548,0.172780681,0.991778376,0.925975111
1h,6.5h,yebG,7.423421956,7.371646594,0.19863548,0.176212753,0.989290714,0.92687542
1h,8.5h,yebG,7.423421956,7.392065437,0.19863548,0.169705119,0.987573816,0.912746801
1h,10h,yebG,7.423421956,7.35178917,0.19863548,0.172376494,0.987872528,0.897892651
1h,11h,yebG,7.423421956,7.31721301,0.19863548,0.174123681,0.988161273,0.915633832
1h,2h,yfiE,7.712830912,7.757798729,0.156016993,0.146504827,0.997423558,0.961316293
1h,3h,yfiE,7.712830912,7.664346716,0.156016993,0.146424977,0.995279051,0.940861022
1h,5h,yfiE,7.712830912,7.599417527,0.156016993,0.149191826,0.991778376,0.925975111
1h,6.5h,yfiE,7.712830912,7.595392505,0.156016993,0.154930862,0.989290714,0.92687542
1h,8.5h,yfiE,7.712830912,7.633944792,0.156016993,0.146399181,0.987573816,0.912746801
1h,10h,yfiE,7.712830912,7.59183104,0.156016993,0.145422631,0.987872528,0.897892651
1h,11h,yfiE,7.712830912,7.560386605,0.156016993,0.161019822,0.988161273,0.915633832
1h,2h,ygbA,5.982042555,6.029028952,0.246057423,0.24906278,0.997423558,0.961316293
1h,3h,ygbA,5.982042555,6.023294536,0.246057423,0.260177293,0.995279051,0.940861022
1h,5h,ygbA,5.982042555,6.026385153,0.246057423,0.246644794,0.991778376,0.925975111
1h,6.5h,ygbA,5.982042555,6.029143238,0.246057423,0.237604736,0.989290714,0.92687542
1h,8.5h,ygbA,5.982042555,6.016573864,0.246057423,0.261796757,0.987573816,0.912746801
1h,10h,ygbA,5.982042555,5.892521732,0.246057423,0.288568872,0.987872528,0.897892651
1h,11h,ygbA,5.982042555,5.902462313,0.246057423,0.29301895,0.988161273,0.915633832
1h,2h,nudH,8.24720046,8.248228231,0.106163109,0.087014892,0.997423558,0.961316293
1h,3h,nudH,8.24720046,8.155083525,0.106163109,0.083145737,0.995279051,0.940861022
1h,5h,nudH,8.24720046,8.104560889,0.106163109,0.084953827,0.991778376,0.925975111
1h,6.5h,nudH,8.24720046,8.101467731,0.106163109,0.088383429,0.989290714,0.92687542
1h,8.5h,nudH,8.24720046,8.097848729,0.106163109,0.086432408,0.987573816,0.912746801
1h,10h,nudH,8.24720046,8.004940341,0.106163109,0.089858257,0.987872528,0.897892651
1h,11h,nudH,8.24720046,7.956110877,0.106163109,0.095667543,0.988161273,0.915633832
1h,2h,yggH,8.052260377,8.083168357,0.100042537,0.084075,0.997423558,0.961316293
1h,3h,yggH,8.052260377,8.017465964,0.100042537,0.080741893,0.995279051,0.940861022
1h,5h,yggH,8.052260377,7.923763978,0.100042537,0.088710692,0.991778376,0.925975111
1h,6.5h,yggH,8.052260377,7.889540424,0.100042537,0.089433075,0.989290714,0.92687542
1h,8.5h,yggH,8.052260377,7.882138977,0.100042537,0.089792775,0.987573816,0.912746801
1h,10h,yggH,8.052260377,7.81215271,0.100042537,0.097831019,0.987872528,0.897892651
1h,11h,yggH,8.052260377,7.768654822,0.100042537,0.098438385,0.988161273,0.915633832
1h,2h,mug,8.209638459,8.262089032,0.112533446,0.096606678,0.997423558,0.961316293
1h,3h,mug,8.209638459,8.20053245,0.112533446,0.099782751,0.995279051,0.940861022
1h,5h,mug,8.209638459,8.266496768,0.112533446,0.096861838,0.991778376,0.925975111
1h,6.5h,mug,8.209638459,8.297475803,0.112533446,0.104460883,0.989290714,0.92687542
1h,8.5h,mug,8.209638459,8.286491023,0.112533446,0.108723459,0.987573816,0.912746801
1h,10h,mug,8.209638459,8.212158565,0.112533446,0.112017522,0.987872528,0.897892651
1h,11h,mug,8.209638459,8.147858956,0.112533446,0.12145801,0.988161273,0.915633832
1h,2h,yneK,6.987112039,7.025650177,0.212248063,0.190375617,0.997423558,0.961316293
1h,3h,yneK,6.987112039,6.93914215,0.212248063,0.203318394,0.995279051,0.940861022
1h,5h,yneK,6.987112039,6.880807178,0.212248063,0.209766126,0.991778376,0.925975111
1h,6.5h,yneK,6.987112039,6.873994583,0.212248063,0.20706063,0.989290714,0.92687542
1h,8.5h,yneK,6.987112039,6.86986872,0.212248063,0.207398552,0.987573816,0.912746801
1h,10h,yneK,6.987112039,6.7872206,0.212248063,0.233114057,0.987872528,0.897892651
1h,11h,yneK,6.987112039,6.767563248,0.212248063,0.226431886,0.988161273,0.915633832
1h,2h,rob,9.404294278,9.445510046,0.092640904,0.101342483,0.997423558,0.961316293
1h,3h,rob,9.404294278,9.385414305,0.092640904,0.08910055,0.995279051,0.940861022
1h,5h,rob,9.404294278,9.386598793,0.092640904,0.084257454,0.991778376,0.925975111
1h,6.5h,rob,9.404294278,9.411696518,0.092640904,0.099707352,0.989290714,0.92687542
1h,8.5h,rob,9.404294278,9.412107025,0.092640904,0.105450722,0.987573816,0.912746801
1h,10h,rob,9.404294278,9.340442233,0.092640904,0.105522919,0.987872528,0.897892651
1h,11h,rob,9.404294278,9.303827635,0.092640904,0.109268647,0.988161273,0.915633832
1h,2h,sulA,6.407300732,6.468668511,0.272164878,0.251989709,0.997423558,0.961316293
1h,3h,sulA,6.407300732,6.424207214,0.272164878,0.261759692,0.995279051,0.940861022
1h,5h,sulA,6.407300732,6.368330958,0.272164878,0.256704275,0.991778376,0.925975111
1h,6.5h,sulA,6.407300732,6.409375805,0.272164878,0.254562336,0.989290714,0.92687542
1h,8.5h,sulA,6.407300732,6.36597201,0.272164878,0.279621142,0.987573816,0.912746801
1h,10h,sulA,6.407300732,6.28693329,0.272164878,0.290147395,0.987872528,0.897892651
1h,11h,sulA,6.407300732,6.29016615,0.272164878,0.290493096,0.988161273,0.915633832
1h,2h,fur,8.16245033,8.181364912,0.102153538,0.084212562,0.997423558,0.961316293
1h,3h,fur,8.16245033,8.126899161,0.102153538,0.089775532,0.995279051,0.940861022
1h,5h,fur,8.16245033,8.09611036,0.102153538,0.096004618,0.991778376,0.925975111
1h,6.5h,fur,8.16245033,8.175845443,0.102153538,0.09391264,0.989290714,0.92687542
1h,8.5h,fur,8.16245033,8.180371049,0.102153538,0.10105492,0.987573816,0.912746801
1h,10h,fur,8.16245033,8.15315071,0.102153538,0.097300466,0.987872528,0.897892651
1h,11h,fur,8.16245033,8.129670548,0.102153538,0.099334366,0.988161273,0.915633832
1h,2h,soxR,6.501677239,6.589157318,0.28443035,0.270135493,0.997423558,0.961316293
1h,3h,soxR,6.501677239,6.570670638,0.28443035,0.25363955,0.995279051,0.940861022
1h,5h,soxR,6.501677239,6.55612989,0.28443035,0.26343984,0.991778376,0.925975111
1h,6.5h,soxR,6.501677239,6.552779251,0.28443035,0.262743285,0.989290714,0.92687542
1h,8.5h,soxR,6.501677239,6.577776294,0.28443035,0.273790654,0.987573816,0.912746801
1h,10h,soxR,6.501677239,6.498647956,0.28443035,0.289878311,0.987872528,0.897892651
1h,11h,soxR,6.501677239,6.478763446,0.28443035,0.286254636,0.988161273,0.915633832
1h,2h,serA,10.13463689,10.21764193,0.061840726,0.050936197,0.997423558,0.961316293
1h,3h,serA,10.13463689,10.22335279,0.061840726,0.050437507,0.995279051,0.940861022
1h,5h,serA,10.13463689,10.30978899,0.061840726,0.052020563,0.991778376,0.925975111
1h,6.5h,serA,10.13463689,10.36276174,0.061840726,0.051381189,0.989290714,0.92687542
1h,8.5h,serA,10.13463689,10.39145499,0.061840726,0.055137755,0.987573816,0.912746801
1h,10h,serA,10.13463689,10.34018226,0.061840726,0.05123425,0.987872528,0.897892651
1h,11h,serA,10.13463689,10.300452,0.061840726,0.055581248,0.988161273,0.915633832
1h,2h,secE,9.103079554,9.261247519,0.053145758,0.060961946,0.997423558,0.961316293
1h,3h,secE,9.103079554,9.194908821,0.053145758,0.054347342,0.995279051,0.940861022
1h,5h,secE,9.103079554,9.060448086,0.053145758,0.058289654,0.991778376,0.925975111
1h,6.5h,secE,9.103079554,8.998676428,0.053145758,0.057545257,0.989290714,0.92687542
1h,8.5h,secE,9.103079554,8.990163091,0.053145758,0.060350162,0.987573816,0.912746801
1h,10h,secE,9.103079554,8.916516118,0.053145758,0.060736111,0.987872528,0.897892651
1h,11h,secE,9.103079554,8.879995869,0.053145758,0.063204286,0.988161273,0.915633832
1h,2h,ybhM,5.88028851,5.8840097,0.209900204,0.21663415,0.997423558,0.961316293
1h,3h,ybhM,5.88028851,5.894950207,0.209900204,0.211925702,0.995279051,0.940861022
1h,5h,ybhM,5.88028851,5.897773649,0.209900204,0.208235436,0.991778376,0.925975111
1h,6.5h,ybhM,5.88028851,5.932336635,0.209900204,0.199056712,0.989290714,0.92687542
1h,8.5h,ybhM,5.88028851,5.879083274,0.209900204,0.20274704,0.987573816,0.912746801
1h,10h,ybhM,5.88028851,5.788322692,0.209900204,0.248509795,0.987872528,0.897892651
1h,11h,ybhM,5.88028851,5.7973222,0.209900204,0.241119136,0.988161273,0.915633832
1h,2h,ybjO,6.317563513,6.615182004,0.254717613,0.244053709,0.997423558,0.961316293
1h,3h,ybjO,6.317563513,6.622111728,0.254717613,0.227782034,0.995279051,0.940861022
1h,5h,ybjO,6.317563513,6.608925739,0.254717613,0.233101545,0.991778376,0.925975111
1h,6.5h,ybjO,6.317563513,6.631823746,0.254717613,0.235205002,0.989290714,0.92687542
1h,8.5h,ybjO,6.317563513,6.588299275,0.254717613,0.232663658,0.987573816,0.912746801
1h,10h,ybjO,6.317563513,6.47757792,0.254717613,0.254809705,0.987872528,0.897892651
1h,11h,ybjO,6.317563513,6.460197539,0.254717613,0.249744342,0.988161273,0.915633832
1h,2h,ycaL,5.967735821,5.989281649,0.222596079,0.233878414,0.997423558,0.961316293
1h,3h,ycaL,5.967735821,5.980744811,0.222596079,0.225712543,0.995279051,0.940861022
1h,5h,ycaL,5.967735821,5.997523652,0.222596079,0.207323692,0.991778376,0.925975111
1h,6.5h,ycaL,5.967735821,6.049404666,0.222596079,0.198156175,0.989290714,0.92687542
1h,8.5h,ycaL,5.967735821,5.999140502,0.222596079,0.214529164,0.987573816,0.912746801
1h,10h,ycaL,5.967735821,5.89972717,0.222596079,0.249820232,0.987872528,0.897892651
1h,11h,ycaL,5.967735821,5.933210477,0.222596079,0.244633053,0.988161273,0.915633832
1h,2h,ycaI,5.880054007,5.911709688,0.251000854,0.248486772,0.997423558,0.961316293
1h,3h,ycaI,5.880054007,5.896372906,0.251000854,0.229153816,0.995279051,0.940861022
1h,5h,ycaI,5.880054007,5.912774156,0.251000854,0.22338444,0.991778376,0.925975111
1h,6.5h,ycaI,5.880054007,5.952367044,0.251000854,0.213991085,0.989290714,0.92687542
1h,8.5h,ycaI,5.880054007,5.892856052,0.251000854,0.225325912,0.987573816,0.912746801
1h,10h,ycaI,5.880054007,5.784519351,0.251000854,0.264147906,0.987872528,0.897892651
1h,11h,ycaI,5.880054007,5.80881532,0.251000854,0.252867153,0.988161273,0.915633832
1h,2h,ycbK,10.25356458,10.39336332,0.069121559,0.064568852,0.997423558,0.961316293
1h,3h,ycbK,10.25356458,10.29437846,0.069121559,0.055469261,0.995279051,0.940861022
1h,5h,ycbK,10.25356458,10.15649926,0.069121559,0.05104171,0.991778376,0.925975111
1h,6.5h,ycbK,10.25356458,10.10992674,0.069121559,0.050587864,0.989290714,0.92687542
1h,8.5h,ycbK,10.25356458,10.10247505,0.069121559,0.051769944,0.987573816,0.912746801
1h,10h,ycbK,10.25356458,10.00235511,0.069121559,0.049445204,0.987872528,0.897892651
1h,11h,ycbK,10.25356458,9.960352116,0.069121559,0.054011455,0.988161273,0.915633832
1h,2h,U139,5.805955654,5.785929464,0.240565931,0.238411256,0.997423558,0.961316293
1h,3h,U139,5.805955654,5.794964809,0.240565931,0.22724459,0.995279051,0.940861022
1h,5h,U139,5.805955654,5.831976562,0.240565931,0.227111868,0.991778376,0.925975111
1h,6.5h,U139,5.805955654,5.846350963,0.240565931,0.212107916,0.989290714,0.92687542
1h,8.5h,U139,5.805955654,5.785135928,0.240565931,0.247882378,0.987573816,0.912746801
1h,10h,U139,5.805955654,5.697612179,0.240565931,0.266054584,0.987872528,0.897892651
1h,11h,U139,5.805955654,5.719914778,0.240565931,0.242740384,0.988161273,0.915633832
1h,2h,ycbW,7.424199795,7.540493021,0.181510148,0.140725692,0.997423558,0.961316293
1h,3h,ycbW,7.424199795,7.531070409,0.181510148,0.152643111,0.995279051,0.940861022
1h,5h,ycbW,7.424199795,7.553166076,0.181510148,0.140883037,0.991778376,0.925975111
1h,6.5h,ycbW,7.424199795,7.670434623,0.181510148,0.135901957,0.989290714,0.92687542
1h,8.5h,ycbW,7.424199795,7.758105536,0.181510148,0.128261914,0.987573816,0.912746801
1h,10h,ycbW,7.424199795,7.714651597,0.181510148,0.130567548,0.987872528,0.897892651
1h,11h,ycbW,7.424199795,7.636835002,0.181510148,0.145240023,0.988161273,0.915633832
1h,2h,ycdN,7.104119867,7.127631479,0.236330824,0.205090342,0.997423558,0.961316293
1h,3h,ycdN,7.104119867,7.088572334,0.236330824,0.201474366,0.995279051,0.940861022
1h,5h,ycdN,7.104119867,7.047401989,0.236330824,0.19223871,0.991778376,0.925975111
1h,6.5h,ycdN,7.104119867,7.120238782,0.236330824,0.184971266,0.989290714,0.92687542
1h,8.5h,ycdN,7.104119867,7.122193776,0.236330824,0.174202279,0.987573816,0.912746801
1h,10h,ycdN,7.104119867,7.056473198,0.236330824,0.186615694,0.987872528,0.897892651
1h,11h,ycdN,7.104119867,7.040735373,0.236330824,0.188833515,0.988161273,0.915633832
1h,2h,yagU,7.864088628,7.92427887,0.122551416,0.115006062,0.997423558,0.961316293
1h,3h,yagU,7.864088628,7.866057991,0.122551416,0.10601544,0.995279051,0.940861022
1h,5h,yagU,7.864088628,7.804914533,0.122551416,0.116055414,0.991778376,0.925975111
1h,6.5h,yagU,7.864088628,7.802822459,0.122551416,0.123550985,0.989290714,0.92687542
1h,8.5h,yagU,7.864088628,7.840062205,0.122551416,0.116039703,0.987573816,0.912746801
1h,10h,yagU,7.864088628,7.796666111,0.122551416,0.11843399,0.987872528,0.897892651
1h,11h,yagU,7.864088628,7.788568006,0.122551416,0.122836181,0.988161273,0.915633832
