hours_grown1,hours_grown2,gene_downstream,fl_mean_log1,fl_mean_log2,fl_var_log1,fl_var_log2,cor_mean,cor_var
0h,3h,ycgK,6.454238899,6.198706478,0.271819072,0.264976123,0.991973013,0.914567858
0h,5h,ycgK,6.454238899,6.15307157,0.271819072,0.249379681,0.988534391,0.900022899
0h,6.5h,ycgK,6.454238899,6.131862086,0.271819072,0.247388096,0.985763124,0.905858719
0h,8.5h,ycgK,6.454238899,6.015071389,0.271819072,0.275529743,0.983992857,0.887850084
0h,10h,ycgK,6.454238899,5.956461812,0.271819072,0.254081076,0.984507283,0.862891515
0h,11h,ycgK,6.454238899,5.935289968,0.271819072,0.263467783,0.984816255,0.887479151
0h,1h,ldhA,7.80275592,7.759544803,0.198959409,0.160537988,0.998710269,0.978320822
0h,2h,ldhA,7.80275592,7.80457881,0.198959409,0.130243562,0.994700418,0.934124539
0h,3h,ldhA,7.80275592,7.741380892,0.198959409,0.128351367,0.991973013,0.914567858
0h,5h,ldhA,7.80275592,7.719416985,0.198959409,0.119859447,0.988534391,0.900022899
0h,6.5h,ldhA,7.80275592,7.644550136,0.198959409,0.131926851,0.985763124,0.905858719
0h,8.5h,ldhA,7.80275592,7.664312588,0.198959409,0.118431493,0.983992857,0.887850084
0h,10h,ldhA,7.80275592,7.61878645,0.198959409,0.1284169,0.984507283,0.862891515
0h,11h,ldhA,7.80275592,7.561381006,0.198959409,0.144192056,0.984816255,0.887479151
0h,1h,yddH,6.234761901,6.19859426,0.247630612,0.252095922,0.998710269,0.978320822
0h,2h,yddH,6.234761901,6.349753737,0.247630612,0.264531488,0.994700418,0.934124539
0h,3h,yddH,6.234761901,6.36101168,0.247630612,0.261768567,0.991973013,0.914567858
0h,5h,yddH,6.234761901,6.428584277,0.247630612,0.265628922,0.988534391,0.900022899
0h,6.5h,yddH,6.234761901,6.394210792,0.247630612,0.246807735,0.985763124,0.905858719
0h,8.5h,yddH,6.234761901,6.378188312,0.247630612,0.284398612,0.983992857,0.887850084
0h,10h,yddH,6.234761901,6.308158211,0.247630612,0.281581934,0.984507283,0.862891515
0h,11h,yddH,6.234761901,6.264776641,0.247630612,0.289073728,0.984816255,0.887479151
0h,1h,ydeI,6.115804904,6.111833897,0.2400608,0.270563534,0.998710269,0.978320822
0h,2h,ydeI,6.115804904,6.268669098,0.2400608,0.292614,0.994700418,0.934124539
0h,3h,ydeI,6.115804904,6.306921239,0.2400608,0.275981981,0.991973013,0.914567858
0h,5h,ydeI,6.115804904,6.344543339,0.2400608,0.275067798,0.988534391,0.900022899
0h,6.5h,ydeI,6.115804904,6.428397375,0.2400608,0.279206011,0.985763124,0.905858719
0h,8.5h,ydeI,6.115804904,6.447705455,0.2400608,0.300089742,0.983992857,0.887850084
0h,10h,ydeI,6.115804904,6.297683383,0.2400608,0.332951801,0.984507283,0.862891515
0h,11h,ydeI,6.115804904,6.288900868,0.2400608,0.307410559,0.984816255,0.887479151
0h,1h,Empty,8.382786504,8.495099997,0.181281811,0.152856595,0.998710269,0.978320822
0h,2h,Empty,8.382786504,8.594561885,0.181281811,0.112212044,0.994700418,0.934124539
0h,3h,Empty,8.382786504,8.49976236,0.181281811,0.105086467,0.991973013,0.914567858
0h,5h,Empty,8.382786504,8.25566206,0.181281811,0.107911278,0.988534391,0.900022899
0h,6.5h,Empty,8.382786504,8.20336197,0.181281811,0.10989175,0.985763124,0.905858719
0h,8.5h,Empty,8.382786504,8.166863033,0.181281811,0.111103176,0.983992857,0.887850084
0h,10h,Empty,8.382786504,8.078501951,0.181281811,0.114027108,0.984507283,0.862891515
0h,11h,Empty,8.382786504,8.026967381,0.181281811,0.126095195,0.984816255,0.887479151
0h,1h,ybiA,5.992396306,5.958154394,0.20987486,0.22583673,0.998710269,0.978320822
0h,2h,ybiA,5.992396306,5.948704101,0.20987486,0.23353993,0.994700418,0.934124539
0h,3h,ybiA,5.992396306,5.937639499,0.20987486,0.215106821,0.991973013,0.914567858
0h,5h,ybiA,5.992396306,5.941900691,0.20987486,0.216237391,0.988534391,0.900022899
0h,6.5h,ybiA,5.992396306,5.987091916,0.20987486,0.190430969,0.985763124,0.905858719
0h,8.5h,ybiA,5.992396306,5.894802415,0.20987486,0.211380959,0.983992857,0.887850084
0h,10h,ybiA,5.992396306,5.809705767,0.20987486,0.236759925,0.984507283,0.862891515
0h,11h,ybiA,5.992396306,5.83519894,0.20987486,0.242477056,0.984816255,0.887479151
0h,1h,astC,5.949257754,5.934382634,0.225948566,0.235427525,0.998710269,0.978320822
0h,2h,astC,5.949257754,5.944784825,0.225948566,0.258856738,0.994700418,0.934124539
0h,3h,astC,5.949257754,5.935698289,0.225948566,0.233807942,0.991973013,0.914567858
0h,5h,astC,5.949257754,5.93589447,0.225948566,0.225093273,0.988534391,0.900022899
0h,6.5h,astC,5.949257754,5.97525623,0.225948566,0.206675994,0.985763124,0.905858719
0h,8.5h,astC,5.949257754,5.924302131,0.225948566,0.219125258,0.983992857,0.887850084
0h,10h,astC,5.949257754,5.861665918,0.225948566,0.245865662,0.984507283,0.862891515
0h,11h,astC,5.949257754,5.914724662,0.225948566,0.237599513,0.984816255,0.887479151
